Kernel Name,sm__cycles_elapsed.avg.per_second,Count,lts__t_bytes.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__cycles_elapsed.avg,dram__bytes.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,l1tex__t_bytes.sum,Time,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1,2614361484.54,2,3578610368,0,56623104,4718893.13,287164896,56623104,0,0,573308928,0,4557244288,0.0036099775474089,113246208,293534171136,293647417344,1022.5742123577668,82.05626965422127,64.43530317591788,75756.8337083685,75727.617806437
Volta_hmma_implicit_gemm_fprop_fp32_nhwc_64x32x64x1_1x1x1x0x1,1310137083.82,1,1687808,0,114688,35101.03,1778176,65536,0,0,131072,0,1515488,2.6791875776582888e-05,180224,67108864,67289088,37.8416354736539,39.867738510541486,44.400937519795605,2339.0615574017243,2332.7967224537283
cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),93423777461.00005,72,9933856,0,0,310576.51,8774528,0,0,0,0,0,8786304,0.00023935564722091078,0,0,0,0.0,0.0,0.0,0.0,0.0
"void SpatialClassNLLCriterion_updateOutput_no_reduce_kernel<float>(long, THCDeviceTensor<float, 4, int, DefaultPtrTraits>, THCDeviceTensor<long, 3, int, DefaultPtrTraits>, THCDeviceTensor<float, 3, int, DefaultPtrTraits>, float*, long)",1308205740.18,1,171984032,0,0,237497.4,32973184,0,1769472,0,0,0,171637632,0.0001815443799897423,3538944,0,3538944,0.10732794260936403,0.020577166140633336,0.020618695088965105,18.154780873339217,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<c10::Half, unsigned int, 4>(c10::Half*, at::native::(anonymous namespace)::CatArrInputTensor<c10::Half, unsigned int>*, at::native::(anonymous namespace)::OutputTensorSizeStride<unsigned int, 4u>, int, unsigned int)",1306671945.47,1,134505056,0,0,326925.33,134794464,0,0,0,0,0,134971392,0.0002501969458618838,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 4>(float*, at::native::(anonymous namespace)::CatArrInputTensor<float, unsigned int>*, at::native::(anonymous namespace)::OutputTensorSizeStride<unsigned int, 4u>, int, unsigned int)",1306339322.07,1,70808896,0,0,126144.5,70834144,0,0,0,0,0,72007680,9.656334909992135e-05,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::cunn_SpatialSoftMaxForward<float, float, float, at::native::(anonymous namespace)::LogSoftMaxForwardEpilogue>(float*, float*, unsigned int, unsigned int, unsigned int)",1300649814.44,1,45170720,0,24772608,87958.12,42571072,17694720,30081024,0,0,0,84934656,6.762628881615665e-05,102629376,0,102629376,2.4107773466451583,2.272033210894137,1.2083333333333333,1413.371284462155,0.0
"void at::native::(anonymous namespace)::upsample_bilinear2d_out_frame<float, float>(int, float, float, bool, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, long>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, long>)",1312112172.37,1,7115008,0,13824,146374.92,6766560,5315328,5308416,0,0,0,14155776,0.00011155671220975765,15945984,0,15945984,2.3565865077676103,2.241175835642068,1.12646484375,133.12381280772678,0.0
"void at::native::col2im_kernel<c10::Half, float>(long, c10::Half const*, long, long, long, long, long, long, long, long, long, long, long, long, long, c10::Half*)",10490166245.68,8,1007187808,345068166,345068166,22047700.03,1009203648,0,0,0,0,0,1236729728,0.016813994755577537,690136332,0,690136332,0.683842486467112,0.6852111657014816,0.5580332682032852,38.226462830358216,0.0
"void at::native::legacy::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1}>(at::TensorIterator&, at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1} const&)::{lambda(int)#4}>(int, at::native::gpu_kernel_impl<at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1}>(at::TensorIterator&, at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1} const&)::{lambda(int)#4})",1304717558.04,1,113385088,113246208,28311552,251139.9,113555872,28311552,0,0,0,0,141557760,0.00019248602768653824,169869312,0,169869312,1.4959095378176481,1.4981627213624422,1.2,821.894071488827,0.0
