Kernel Name,sm__cycles_elapsed.avg.per_second,Count,lts__t_bytes.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__cycles_elapsed.avg,dram__bytes.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,l1tex__t_bytes.sum,Time,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1,2613052911.84,2,3578500064,0,56623104,4723890.35,286886080,56623104,0,0,573308928,0,4557302304,0.0036156101765835564,113246208,293534171136,293647417344,1023.5680216481747,82.05879896387785,64.4344828927109,75638.81485929873,75609.64447177104
Volta_hmma_implicit_gemm_fprop_fp32_nhwc_64x32x64x1_1x1x1x0x1,1310045163.17,1,1687744,0,114688,35287.18,1790048,65536,0,0,131072,0,1515264,2.6935849993608886e-05,180224,67108864,67289088,37.59066125601101,39.869250312843654,44.40750126710593,2326.5590911204513,2320.327742203401
cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),93422412551.16998,72,9933216,0,0,311756.10000000015,8819616,0,0,0,0,0,8786304,0.00024026824599188644,0,0,0,0.0,0.0,0.0,0.0,0.0
"void SpatialClassNLLCriterion_updateOutput_no_reduce_kernel<float>(long, THCDeviceTensor<float, 4, int, DefaultPtrTraits>, THCDeviceTensor<long, 3, int, DefaultPtrTraits>, THCDeviceTensor<float, 3, int, DefaultPtrTraits>, float*, long)",1307669702.72,1,171989184,0,0,238451.08,33021120,0,1769472,0,0,0,171638208,0.00018234809562691034,3538944,0,3538944,0.10717213710498008,0.020576549743965295,0.020618625894765808,18.074762043270837,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<c10::Half, unsigned int, 4>(c10::Half*, at::native::(anonymous namespace)::CatArrInputTensor<c10::Half, unsigned int>*, at::native::(anonymous namespace)::OutputTensorSizeStride<unsigned int, 4u>, int, unsigned int)",1305565607.97,1,134505120,0,0,330450.85,134912064,0,0,0,0,0,134971392,0.0002531093404902201,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 4>(float*, at::native::(anonymous namespace)::CatArrInputTensor<float, unsigned int>*, at::native::(anonymous namespace)::OutputTensorSizeStride<unsigned int, 4u>, int, unsigned int)",1303961321.72,1,70808992,0,0,126116.4,70844000,0,0,0,0,0,72007680,9.671789944938336e-05,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::cunn_SpatialSoftMaxForward<float, float, float, at::native::(anonymous namespace)::LogSoftMaxForwardEpilogue>(float*, float*, unsigned int, unsigned int, unsigned int)",1297363004.6,1,44553152,0,24772608,87095.12,42510880,17694720,30081024,0,0,0,84934656,6.713242145119821e-05,102629376,0,102629376,2.414190814210386,2.3035267179300805,1.2083333333333333,1423.7689125660763,0.0
"void at::native::(anonymous namespace)::upsample_bilinear2d_out_frame<float, float>(int, float, float, bool, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, long>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, long>)",1312028659.97,1,7115040,0,13824,146366.15,6783232,5315328,5308416,0,0,0,14155776,0.0001115571286402743,15945984,0,15945984,2.3507944295580634,2.2411657559198543,1.12646484375,133.1233158711453,0.0
"void at::native::col2im_kernel<c10::Half, float>(long, c10::Half const*, long, long, long, long, long, long, long, long, long, long, long, long, long, c10::Half*)",10488445716.01,8,1007138304,345068166,345068166,22048910.279999997,1009018720,0,0,0,0,0,1236707712,0.016817676042385286,690136332,0,690136332,0.6839678177625882,0.6852448459749972,0.5580432023698741,38.21809529057628,0.0
"void at::native::legacy::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1}>(at::TensorIterator&, at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1} const&)::{lambda(int)#4}>(int, at::native::gpu_kernel_impl<at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1}>(at::TensorIterator&, at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1} const&)::{lambda(int)#4})",1303431010.05,1,113385088,113246208,28311552,253475.15,113574304,28311552,0,0,0,0,141557760,0.00019446763813780725,169869312,0,169869312,1.4956667663136196,1.4981627213624422,1.2,813.5190333719751,0.0
