Kernel Name,sm__cycles_elapsed.avg.per_second,Count,lts__t_bytes.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__cycles_elapsed.avg,dram__bytes.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,l1tex__t_bytes.sum,Time,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1,82857713256.46,64,10481176256,0,130646016,13922579.969999999,2163020384,85852160,0,0,1243938816,0,10465485568,0.010753918773042286,216498176,636896673792,637113171968,294.54792783312024,60.78641904369097,60.87755487581787,55175.96814345389,55157.218732850444
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x1x1,2600562834.42,2,81763808,0,2654208,321118.15,41132288,1441792,0,0,8978432,0,81178944,0.0002469605008191379,4096000,4596957184,4601053184,111.85988934046168,56.27249141820792,56.67791372107526,17351.21480177027,17335.768213133742
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x3x3x0x1,1310465936.57,1,400061888,0,4571136,2657481.0,126743744,2359296,0,0,254803968,0,392470496,0.002027890176951614,6930432,130459631616,130466562048,1029.3727952994666,326.1159484604542,332.42387231064623,59917.670024135936,59914.48717535704
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x256x32x1_1x3x3x0x1,2618652857.8199997,2,3791200352,0,5308416,6933508.78,345729504,1769472,0,0,764411904,0,3790648256,0.005295477603527847,7077888,391378894848,391385972736,1132.0583525784366,103.23537043604917,103.25040634316242,68833.56310562823,68832.31830820511
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_64x32x64x1_1x1x1x0x1,5182821156.54,4,1258662080,0,6242304,1114600.15,552645408,3145728,0,0,53084160,0,1284892128,0.0008602265957747969,9388032,27179089920,27188477952,49.19696709395259,21.601094037885055,21.160124931514872,29435.550366036103,29425.386432282186
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_64x32x64x1_1x1x1x1x1,1286151433.11,1,89377952,0,1040384,120988.95,45599392,524288,0,0,3538944,0,89155296,9.407053235359747e-05,1564672,1811939328,1813504000,39.77035483280128,20.290283670854308,20.34095652601501,17954.158141753935,17938.66748470108
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_64x32x64x1_1x3x3x0x1,1306347898.27,1,752796608,0,1161216,661770.65,260535360,589824,0,0,31850496,0,765693856,0.0005065807132054062,1751040,16307453952,16309204992,62.59881573080905,21.664822634269893,21.299903171744923,29983.634171485388,29980.414974546886
cask_cudnn::computeBOffsetsKernel(cask_cudnn::ComputeBOffsetsParams),2600548452.06,2,8576,0,0,9363.0,13824,0,0,0,0,0,256,7.200788735609358e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),2603926647.33,2,111744,0,0,11337.23,72192,0,0,0,0,0,62464,8.707795215064838e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeBOffsetsKernel(cudnn::gemm::ComputeBOffsetsParams),92195472671.71996,71,444352,0,0,280383.9299999999,659872,0,0,0,0,0,186496,0.00021592447495641883,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),92210192707.00996,71,8625216,0,0,310648.09,7740416,0,0,0,0,0,7504128,0.00023919280225431379,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeWgradBOffsetsKernel(cudnn::gemm::ComputeBOffsetsParams),1290074404.76,1,4032,0,0,4379.5,7200,0,0,0,0,0,128,3.3947654366607976e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeWgradSplitKOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),1303301411.29,1,4032,0,0,3899.47,7136,0,0,0,0,0,128,2.991993997873698e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
dgrad_1x1_stride_2x2,3875973188.16,3,150546944,0,0,303224.92,105614752,0,0,0,12109824,0,150349056,0.00023469583401113263,0,6200229888,6200229888,58.70609711794807,41.18469444321633,41.23890134700945,24603.82003297977,24603.82003297977
"void SpatialClassNLLCriterion_updateGradInput_no_reduce_kernel<float>(long, THCDeviceTensor<long, 3, int, DefaultPtrTraits>, THCDeviceTensor<float, 3, int, DefaultPtrTraits>, THCDeviceTensor<float, 4, int, DefaultPtrTraits>, float*, long)",1306771197.93,1,172064736,0,0,237335.12,32954976,0,1769472,0,0,0,171638048,0.00018161949113659095,3538944,0,3538944,0.10738724252143288,0.020567514775369194,0.02061864511533014,18.147272723175107,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensor<float, unsigned int>*, at::native::(anonymous namespace)::OutputTensorSizeStride<unsigned int, 4u>, int, unsigned int)",7821151619.9,6,452183872,0,0,806930.81,453049760,0,0,0,0,0,489454336,0.0006190373355863805,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::cunn_SpatialSoftMaxBackward<float, float, float, at::native::(anonymous namespace)::LogSoftMaxBackwardEpilogue>(float*, float*, float*, unsigned int, unsigned int, unsigned int)",1301505464.77,1,69810464,0,10616832,122284.07,65413280,15925248,15925248,0,0,0,84934656,9.395586365948134e-05,58392576,0,58392576,0.8926715798382224,0.8364444619648997,0.6875,578.8071345482452,0.0
"void at::native::(anonymous namespace)::upsample_bilinear2d_backward_out_frame<float, float>(unsigned long, int, int, int, int, float, float, bool, float*, float const*)",1312341326.9,1,233616032,0,7077888,9246182.38,9413696,17694720,0,0,0,0,233570304,0.007045562149476191,24772608,0,24772608,2.6315496060208443,0.10603984575853082,0.10606060606060606,3.2745845644432015,0.0
"void at::native::im2col_kernel<c10::Half>(long, c10::Half const*, long, long, long, long, long, long, long, long, long, long, long, long, c10::Half*)",20778072699.180004,16,2083716800,0,0,6805822.549999999,2006215648,0,0,0,0,0,4324045312,0.0052407729232893385,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::legacy::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIterator&, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#4}>(int, at::native::gpu_kernel_impl<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIterator&, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#4})",1293743498.61,1,14205344,0,0,30992.05,14191648,0,0,0,0,0,14155776,2.395532811047778e-05,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::legacy::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIterator&, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#3}>(int, at::native::gpu_kernel_impl<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIterator&, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#3})",5160076940.79,4,42900384,0,0,129918.38,45158080,0,0,0,0,0,42467328,0.00010071042078695028,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::legacy::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIterator&, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#4}>(int, at::native::gpu_kernel_impl<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIterator&, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#4})",80856556253.95004,63,2246979392,0,0,4822817.359999999,2235883328,0,0,0,0,0,2710520192,0.003757734780661732,0,0,0,0.0,0.0,0.0,0.0,0.0
