Kernel Name,sm__cycles_elapsed.avg.per_second,Count,lts__t_bytes.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__cycles_elapsed.avg,dram__bytes.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,l1tex__t_bytes.sum,Time,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1,2612840479.7,2,3579356192,0,56623104,4720126.17,288730112,56623104,0,0,573308928,0,4557258752,0.003613022843661664,113246208,293534171136,293647417344,1017.0308019137262,82.03917173717257,64.4350986687183,75692.98080408419,75663.7895272604
Volta_hmma_implicit_gemm_fprop_fp32_nhwc_64x32x64x1_1x1x1x0x1,1309135953.99,1,1688224,0,114688,35709.2,1772928,65536,0,0,131072,0,1515712,2.7276922531357476e-05,180224,67108864,67289088,37.95364955598874,39.857914589533145,44.394375712536416,2297.4676343214564,2291.3142026249543
cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),93434505102.88004,72,9936096,0,0,315952.68999999994,9019360,0,0,0,0,0,8786304,0.00024347101378609207,0,0,0,0.0,0.0,0.0,0.0,0.0
"void SpatialClassNLLCriterion_updateOutput_no_reduce_kernel<float>(long, THCDeviceTensor<float, 4, int, DefaultPtrTraits>, THCDeviceTensor<long, 3, int, DefaultPtrTraits>, THCDeviceTensor<float, 3, int, DefaultPtrTraits>, float*, long)",1308186505.58,1,172089408,0,0,236835.27,33247840,0,1769472,0,0,0,171637632,0.00018104090585691852,3538944,0,3538944,0.10644132069932964,0.020564566065565174,0.020618695088965105,18.205269256136162,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<c10::Half, unsigned int, 4>(c10::Half*, at::native::(anonymous namespace)::CatArrInputTensor<c10::Half, unsigned int>*, at::native::(anonymous namespace)::OutputTensorSizeStride<unsigned int, 4u>, int, unsigned int)",1306242743.19,1,134508800,0,0,329130.92,134850848,0,0,0,0,0,134971392,0.0002519676543398229,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 4>(float*, at::native::(anonymous namespace)::CatArrInputTensor<float, unsigned int>*, at::native::(anonymous namespace)::OutputTensorSizeStride<unsigned int, 4u>, int, unsigned int)",1305630732.07,1,70808352,0,0,127925.98,70821856,0,0,0,0,0,72007680,9.798021512344532e-05,0,0,0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::cunn_SpatialSoftMaxForward<float, float, float, at::native::(anonymous namespace)::LogSoftMaxForwardEpilogue>(float*, float*, unsigned int, unsigned int, unsigned int)",1299599599.98,1,43878944,0,24772608,88233.98,42526112,17694720,30081024,0,0,0,84934656,6.789320341538875e-05,102629376,0,102629376,2.413326099503289,2.338920827265123,1.2083333333333333,1407.814772013475,0.0
"void at::native::(anonymous namespace)::upsample_bilinear2d_out_frame<float, float>(int, float, float, bool, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, long>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, long>)",1312295115.0,1,7115008,0,13824,146421.52,6774752,5315328,5308416,0,0,0,14155776,0.00011157667077043108,15945984,0,15945984,2.353736933839054,2.241175835642068,1.12646484375,133.09999994723674,0.0
"void at::native::col2im_kernel<c10::Half, float>(long, c10::Half const*, long, long, long, long, long, long, long, long, long, long, long, long, long, c10::Half*)",10489764171.630001,8,1007134496,345068166,345068166,22046888.380000003,1008926272,0,0,0,0,0,1236692320,0.016814020234793624,690136332,0,690136332,0.6840304897918249,0.6852474369024095,0.558050147833052,38.22640490368196,0.0
"void at::native::legacy::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1}>(at::TensorIterator&, at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1} const&)::{lambda(int)#4}>(int, at::native::gpu_kernel_impl<at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1}>(at::TensorIterator&, at::native::add_kernel_cuda(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half, {lambda()#10})#1} const&)::{lambda(int)#4})",1304318327.94,1,113384800,113246208,28311552,252611.83,113552416,28311552,0,0,0,0,141557760,0.0001936734496393739,169869312,0,169869312,1.4959550662488768,1.4981665267302142,1.2,816.8549963589703,0.0
