Kernel Name,sm__cycles_elapsed.avg.per_second,Count,lts__t_bytes.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__cycles_elapsed.avg,dram__bytes.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,l1tex__t_bytes.sum,Time,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1,82916156939.82004,64,10480999968,0,130646016,13877839.989999998,2159853856,85852160,0,0,1243938816,0,10465350848,0.010711805661767899,216498176,636896673792,637113171968,294.97975994909166,60.78744145722718,60.878338549897414,55392.89064554807,55374.067522254154
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x1x1,2605104008.8900003,2,81765728,0,2654208,319656.4,41002976,1441792,0,0,8978432,0,81177472,0.00024540778326635895,4096000,4596957184,4601053184,112.21266436855706,56.271170043272896,56.67894146789888,17460.997529221524,17445.453208601975
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x3x3x0x1,1310188950.23,1,400098432,0,4571136,2660698.25,126664544,2359296,0,0,254803968,0,392477216,0.002030774453969347,6930432,130459631616,130466562048,1030.0164349701524,326.0861618372951,332.4181805447784,59832.56989976273,59829.3915715339
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x256x32x1_1x3x3x0x1,2616346006.83,2,3791197472,0,5308416,6932515.47,345888512,1769472,0,0,764411904,0,3790647872,0.005299387353127295,7077888,391378894848,391385972736,1131.5379353680298,103.23544885925689,103.25041680262936,68782.7795003079,68781.53562126381
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_64x32x64x1_1x1x1x0x1,5201948406.71,4,1247095680,0,6242304,1130588.37,560230464,3145728,0,0,53084160,0,1284670304,0.0008693576188042563,9388032,27179089920,27188477952,48.53088094830916,21.801437041302236,21.16377864993445,29126.383364489866,29116.3261844023
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_64x32x64x1_1x1x1x1x1,1295719367.76,1,89365728,0,1040384,121207.68,45555616,524288,0,0,3538944,0,89148480,9.354470035401271e-05,1564672,1811939328,1813504000,39.80857157106601,20.293059102030703,20.342511728747365,18055.081773352635,18039.504040461794
Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_64x32x64x1_1x3x3x0x1,1307959533.7,1,751644800,0,1161216,660228.05,261317600,589824,0,0,31850496,0,765768832,0.0005047771226777365,1751040,16307453952,16309204992,62.411429586066916,21.698021448428833,21.29781771008408,30090.766995354123,30087.536296085498
cask_cudnn::computeBOffsetsKernel(cask_cudnn::ComputeBOffsetsParams),2605865005.63,2,8576,0,0,9498.4,14976,0,0,0,0,0,256,7.290016926800584e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),2596606809.7,2,111744,0,0,11531.130000000001,72448,0,0,0,0,0,62464,8.881691257162078e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeBOffsetsKernel(cudnn::gemm::ComputeBOffsetsParams),92146792278.26996,71,444736,0,0,281079.77999999997,641888,0,0,0,0,0,186496,0.0002165747052782235,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),92138453319.26999,71,8623872,0,0,306987.43,7606080,0,0,0,0,0,7504128,0.00023655820935558863,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeWgradBOffsetsKernel(cudnn::gemm::ComputeBOffsetsParams),1292252604.17,1,4032,0,0,4490.32,6944,0,0,0,0,0,128,3.4748005037947545e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
cudnn::gemm::computeWgradSplitKOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),1294354059.28,1,3904,0,0,3926.68,6368,0,0,0,0,0,128,3.033698524640362e-06,0,0,0,0.0,0.0,0.0,0.0,0.0
dgrad_1x1_stride_2x2,3893552043.5700006,3,150553728,0,0,303965.73,105346272,0,0,0,12109824,0,150355616,0.00023420701195093842,0,6200229888,6200229888,58.85571240717469,41.18283864747607,41.23710209800211,24655.171569797498,24655.171569797498
